EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
9.279,-3.817,7.365,9.581,-4.210,-6.849,-5.496,-1.537,0.034,1.002,0.052,0.977,1.007,-3.784,100.000,148209.000,1.000
9.225,-6.360,6.314,9.919,-4.916,-8.310,-6.349,-1.667,0.036,1.002,0.052,0.916,0.885,-3.845,100.000,148210.000,1.000
9.794,-6.601,6.795,10.663,-3.689,-7.586,-5.160,-0.461,0.040,1.003,0.050,0.854,0.885,-3.815,100.000,148211.000,1.000
10.757,-4.692,8.604,11.448,-1.066,-5.099,-2.489,1.490,0.041,1.000,0.052,0.824,0.885,-3.723,100.000,148212.000,1.000
11.527,-1.794,10.629,11.674,1.536,-2.114,0.220,3.201,0.040,0.998,0.047,0.916,1.007,-3.632,100.000,148213.000,1.000
11.505,0.567,11.458,10.949,2.711,0.050,1.668,3.935,0.034,1.000,0.044,1.038,1.190,-3.662,100.000,148214.000,1.000
10.729,1.626,10.810,9.550,2.480,0.889,1.848,3.844,0.028,1.004,0.046,1.160,1.160,-3.784,100.000,148215.000,1.000
9.548,1.255,9.148,8.012,1.498,0.630,1.578,3.514,0.026,1.006,0.043,1.221,1.038,-3.876,100.000,148216.000,1.000
8.271,-0.267,7.071,6.602,0.325,-0.253,1.445,3.341,0.026,1.001,0.042,1.129,1.099,-3.754,100.000,148217.000,1.000
6.940,-2.559,4.911,5.121,-0.806,-1.451,1.347,3.190,0.028,0.997,0.040,1.251,1.099,-3.662,100.000,148218.000,1.000
5.352,-5.290,2.566,3.222,-1.971,-2.845,0.991,2.705,0.031,0.993,0.035,1.434,1.099,-3.387,100.000,148219.000,1.000
3.514,-7.726,0.295,0.957,-2.692,-4.158,0.610,2.068,0.038,0.991,0.035,1.678,1.251,-3.204,100.000,148220.000,1.000
1.542,-9.095,-1.583,-1.229,-2.602,-4.995,0.701,1.785,0.039,0.990,0.037,1.801,1.404,-3.021,100.000,148221.000,1.000
